id,kind,slug,name,summary,description,notes
a0c99cd3-014b-4c02-8eef-51ca8b86d321,Disability,abruti,Abruti,"Ce défaut inflige un désavantage aux tests liés à la mémoire et à la logique, reflétant un esprit confus ou insouciant.","Simple d’esprit et bon vivant ou complètement taré, le personnage est dénué de sens commun et n’est pas doté d’une bonne mémoire.\n\nSes tests de <NuxtLink to=""/regles/competences/connaissance"">Connaissance</NuxtLink>, d’<NuxtLink to=""/regles/competences/investigation"">Investigation</NuxtLink>, de <NuxtLink to=""/regles/competences/linguistique"">Linguistique</NuxtLink> et de <NuxtLink to=""/regles/competences/medecine"">Médecine</NuxtLink> sont affligés du désavantage.",🔗
c313a68c-c88c-48bf-9793-959c861e794e,Gift,adresse-legendaire,Adresse légendaire,"Améliore l’orientation par un sens spatial exceptionnel, l’usage de l’Énergie et la capacité de Faire 20 en conditions favorables.","Le personnage acquiert les capacités suivantes :\n\n- Il peut faire Faire 20 à un test d’Orientation lorsque la situation lui permet de Faire 10, avec l’approbation du maître de jeu.\n- Lorsque la situation ne lui permet pas de Faire 10 à un test d’Orientation, il peut dépenser 20 points d’Énergie afin de conférer l’avantage à son test.\n- Grâce à son sens spatial fabuleux, il sait toujours où il se situe par rapport à des indices visuels. Par exemple, s’il remarque la forme particulière d’un nœud dans l’écorce d’un arbre, lorsqu’il verra à nouveau le nœud, il sera capable de comparer sa position actuelle avec sa position précédente. Cela lui permet par exemple de se rendre compte instinctivement qu’il est perdu et qu’il tourne en rond. Il est également doté d’un sens précis des distances, ce qui lui permet de dessiner avec précision des cartes.",🔗
a8d8dd1b-15ad-4ee9-ab41-99fd2dc4549b,Gift,affinite-animale,Affinité animale,"Le personnage peut interpréter le comportement animal, transmettre des idées simples aux bêtes et commander librement un animal dressé.","En interagissant ou en observant un animal pendant au moins une minute, permet au personnage de communiquer des idées simples à l’animal, et de comprendre son comportement et ses réactions.\n\nÉgalement, une fois par tour, il peut donner un ordre à un animal qu’il a dressé en action libre.",🔗
78a57507-aefb-41c6-adcc-70045b5776f9,Gift,aigrefin,Aigrefin,"Permet d’utiliser l’activité Objet en action libre, y compris en début de combat ou lors d’attaques d’opportunité.","Le personnage acquiert les capacités suivantes :\n\n- Il peut effectuer l’activité Objet en action libre une fois par tour.\n- Lorsqu’il entre en situation de combat et n’est pas surpris, il peut effectuer l’activité Objet en action libre au moment où l’initiative est déterminée.\n- Lorsqu’il peut effectuer une attaque d’opportunité, il peut remplacer l’attaque par l’activité Objet.",🔗
771f7fc5-6b7a-4304-b228-3226ba26f1b6,Disability,anxiete,Anxiété,Ce défaut reflète une incapacité à réagir sous pression : initiative et résistance à la peur sont affligées du désavantage.,"Face au danger, le personnage fige complètement sur place, ce qui le rend vulnérable, et est incapable de prendre une décision sous pression.\n\nSes tests d’Initiative ainsi que ses jets de sauvegarde contre les effets de peur sont effectués avec désavantage.",🔗
f07f8d3d-d166-4765-a180-429642f05952,Disability,aveugle,Aveugle,"Privé de la vue, le personnage échoue automatiquement tout test visuel, mais peut utiliser son ouïe à la place dans des conditions favorables.","Le personnage a perdu son sens de la vision ou en est né dépourvu.\n\nIl échoue automatiquement ses tests liés à la vue.\n\nLorsqu’il effectue un test de Perception, qu’il n’est pas victime d’un effet d’assourdissement et que le contexte sonore lui est favorable, alors il peut utiliser son ouïe à la place de sa vue.",🔗
6c9f614f-fb70-4a72-bec1-de74c5b0c3e4,Gift,baraque,Baraqué,🚧,"Le personnage acquiert les capacités suivantes :\n\n- Lorsqu’il bouscule une créature afin de la repousser, il double la portée de la bousculade.\n- Les points de dégâts qu’il inflige aux objets, aux structures, aux bâtiments ainsi qu’aux constructions sont doublés.\n- 🚧","🔗\n\n🚧You have advantage on Strength (Athletics) checks to break nonmagical inanimate objects (such as doors or crates) and can do so as a bonus action.\n🚧Il se voit conférer l’avantage à ses tests de Mêlée lorsqu’il effectue une attaque dirigée contre un objet inanimé et non magique, telles des caisses ou une porte. Une fois par tour, il peut effectuer l’activité Attaque contre un objet inanimé et non magique par une action libre.\nLorsqu’il est bousculé, il se voit conférer l’avantage à son jet de sauvegarde d’Athlétisme."
149aedba-f298-4e42-a741-a341c156dc81,Disability,borgne,Borgne,"Le personnage subit un désavantage à ses tests liés à la vue, ainsi qu’à ceux influencés par son apparence ou sa beauté, comme la Diplomatie ou la Tromperie.","Ses tests d’Intuition, de Perception et de Survie liés à la vue ainsi que ses tests en lien avec son apparence physique ou sa beauté (particulièrement Diplomatie, Représentation et Tromperie) sont effectués avec désavantage.",🔗
cf3b1a92-390f-432c-8cc2-ea2077681d1b,Gift,chance-extraordinaire,Chance extraordinaire,"Le personnage reçoit 3 points de chance par jour, qu’il peut convertir en effets d’Espérance selon des ratios croissants.","Confère 3 points de chance au personnage.\n\n- Il peut dépenser 1 point de chance afin de produire un effet équivalant à 2 points d’Espérance.\n- Il peut dépenser 2 points de chance afin de produire un effet équivalant à 4 points d’Espérance.\n- Il peut dépenser 3 points de chance afin de produire un effet équivalant à 5 points d’Espérance, avec l’approbation du maître de jeu.\n\nIl récupère ses points de chance lorsqu’il complète une nuit de sommeil.",🔗
365795a2-9540-42dd-b99f-70f2c62c0074,Disability,chaotique,Chaotique,"Le personnage, animé d’un fort esprit rebelle, désobéit volontiers et perturbe les plans établis. Il subit un désavantage à ses tests de Discipline.","Affligé d’un grand besoin de liberté, le personnage a tendance à désobéir lorsqu’il le peut, à contredire les lois ainsi qu’à ruiner les plans de ses alliés.\n\nSes tests de Discipline sont effectués avec désavantage.",🔗
131f091c-eb0c-4a3b-b239-7cc04f536e1a,Disability,chetif,Chétif,🚧,Le teint du personnage est blême et sa santé est frêle.\n\n🚧,🔗\n\n🚧Inverse Santé de fer?\n🚧Sa régénération naturelle d’Énergie et de Vitalité est réduite du tiers (33 %) lorsqu’il dort et se repose.\n🚧Résistance désavantage
c2b276a2-65a7-4f14-86b2-fb9cc5a22192,Disability,cleptomane,Cleptomane,"Le personnage est poussé par une compulsion irrésistible à subtiliser des objets sans grande valeur ou qui l’attirent, quelle qu’en soit la raison.","Victime d’une étrange manie, le personnage ne peut s’empêcher de mettre la main sur tout objet de moindre valeur ou qui pourrait lui plaire d’une quelconque manière, même si cela met lui ou ses alliés en danger.",🔗
553bfa6d-81e2-4af5-9f98-92074b8e9e59,Disability,distrait,Distrait,"Distrait et inattentif, le personnage subit un désavantage à ses tests de Perception et d’Investigation, ainsi qu’une pénalité de -5 à ses tests passifs.","La tête dans les nuages, la pensée absente, le personnage entre souvent en collision avec des passants ou des objets se trouvant dans son chemin.\n\nSes tests de Perception sont effectués avec désavantage, tout comme ses tests d’Investigation afin de de déceler la présence d’un piège ou d’un passage secret.\n\nSes tests passifs de ces compétences sont également affligés d’une pénalité de -5.",🔗
c1ecc906-54e1-4cab-a4d2-6747adb97a4b,Gift,dur-a-cuire,Dur à cuire,"Réduit les dégâts létaux subis d’un montant égal à la Santé du personnage, avec un minimum d’un point de dégâts.","Lorsque le personnage reçoit des points de dégâts létaux, il retire à ceux-ci sa Santé (minimum 1).",🔗
1bae73b5-6f7d-476e-94d2-090f19ff7e5e,Gift,efface,Effacé,Accorde un léger obscurcissement en étant renversé et améliore les effets de l’abri contre les attaques à distance.,"Le personnage est considéré légèrement obscurci lorsqu’il est renversé.\n\nÉgalement, lorsqu’il bénéficie du demi-abri contre une attaque à distance, alors il traite l’abri comme un abri aux trois-quarts.",🔗
724b501e-0882-42f6-be0c-675b5d9a4822,Gift,entrepot-a-connaissances,Entrepôt à connaissances,"Permet de se remémorer un texte d’environ 100 mots sur un sujet étudié, avec avantage au test de Connaissance s’il est requis.","Par ses études intensives, le personnage est devenu un véritable entrepôt à connaissances.\n\nPendant une minute, il peut consulter ses connaissances à propos d’un sujet, ce qui est équivalent à feuilleter un bestiaire, fouiller dans une bibliothèque ou interroger un guide de voyage.\n\nS’il a la moindre chance d’avoir lu ou entendu quelque information à propos de ce sujet, alors il peut se souvenir d’un passage d’au plus 100 mots à propos de ce sujet, même si l’information n’est pas applicable ou pertinente à la situation actuelle.\n\nIl se voit conférer l’avantage à son test de Connaissance si un tel test est nécessaire.\n\nIl doit faire halte ou compléter une nuit de sommeil afin de réutiliser cette capacité.",🔗
3f2f3994-9484-452c-b5fc-7485068589cf,Disability,faiblesse,Faiblesse,"Le personnage, au physique frêle, subit un désavantage à ses tests d’Athlétisme et de Mêlée en raison de sa faible musculature.","Plutôt svelte, la musculature du personnage est largement inférieure à celle des autres individus de son espèce.\n\nSes tests d’Athlétisme et de Mêlée sont effectués avec désavantage.",🔗
e14ccc70-1172-4644-922e-c6b07ca60c9e,Gift,feroce,Féroce,Permet de lancer deux fois les dégâts d’une attaque une fois par tour et de choisir le meilleur résultat.,"Une fois par tour, le personnage peut rouler deux fois les dégâts d’une attaque et utiliser le résultat de son choix.",🔗
4a54a9e6-dc15-4d6f-b58e-ae16eed5bbd4,Gift,fignolage,Fignolage,"Permet de Faire 20 à un test d’Artisanat sans contrainte de temps, ou de bénéficier de l’avantage en situation urgente.","Lorsque le personnage effectue un test d’Artisanat et que la situation lui permet de Faire 10, il peut Faire 20 s’il n’est pas contraint par le temps.\n\nS’il peut faire Faire 10 à un test d’Artisanat mais qu’il est contraint par le temps, il se voit conférer l’avantage.",🔗
e8196f9e-d20b-4dcb-8d33-f7c9507f3f2d,Gift,globe-trotteur,Globe-trotteur,"Spécialisé dans un climat choisi, le personnage ignore les effets du terrain difficile et des conditions extrêmes, et détecte mieux pièges et passages.","Le personnage acquiert les capacités suivantes :\n\n- Il choisit un des types de climat suivant : arctique, côte, désert, forêt, marécage, montagne, prairie ou souterrains. Lorsqu’il voyage dans un climat de ce type, le terrain difficile ne le ralentit pas. Les voyageurs qui l’accompagnent ne sont également pas ralentis s’il le désire.\n- Il ignore les effets du climat rigoureux, comme une température très chaude ou très froide, ainsi que les désavantages infligés aux déplacements par les surfaces naturelles comme la glace.\n- Ses tests afin de détecter la présence de pièges et de passages secrets se voient conférer l’avantage.\n- Voyager à vitesse accélérée n’impose pas de pénalité à ses tests passifs de Perception.",🔗
48853cf7-775a-44d9-b5e2-fd66989aa867,Disability,grossier,Grossier,"Le personnage, peu avenant et mal articulé, subit un désavantage à ses tests de Diplomatie, de Représentation et de Tromperie.","L’apparence et les manières du personnage sont naturellement désagréables.\n\nSon éloquence laisse également à désirer : il est affligé de graves bégaiements ou d’autres problèmes de prononciation évidents.\n\nSes tests de Diplomatie, de Représentation et de Tromperie sont effectués avec désavantage.",🔗
a13edfbd-5274-4ee9-b2e0-c7b5a1475f99,Disability,hemophobie,Hémophobie,"Le personnage est terrifié par le sang : en cas de blessure proche, il doit réussir un jet de Discipline ou être paralysé par la peur jusqu’à son prochain tour.","Peu n’effraie davantage le personnage que la vue du sang ou d’une plaie ouverte.\n\nLorsque lui-même ou un allié situé à 1,5 mètres ou moins de sa position est blessé par des [points de dégâts](/regles/combat/degats) [tranchants ou perforants](/regles/combat/degats/types), il doit effectuer un [jet de sauvegarde](/regles/competences/tests/sauvegarde) de [Discipline](/regles/competences/discipline) de [difficulté](/regles/competences/tests/difficulte) égale aux points de dégâts subis.\n\nEn cas d’échec, il est [apeuré](/regles/combat/conditions/apeure) jusqu’à la fin de son prochain [tour](/regles/combat/deroulement/tour).",🔗
a9f25a25-1f40-4129-b34a-4cbca0499eb8,Gift,infatigable,Infatigable,"Réduit les dégâts non létaux et une dépense d’Énergie par tour d’un montant égal à sa Santé, avec un minimum de 1 point dans les deux cas.","Lorsque le personnage reçoit des points de dégâts non létaux, il retire à ceux-ci sa Santé (minimum 1).\n\nÉgalement, une fois par tour, il peut réduire une dépense de points d’Énergie d’un nombre égal à sa Santé. Cette réduction est d’au moins un point d’Énergie, et la dépense réduite est d’au moins un point d’Énergie.",🔗
81ef25d8-4a1d-4336-a9aa-b127c20f82ec,Disability,infirme,Infirme,"Privé de l’usage d’un bras ou d’une jambe, le personnage voit ses vitesses réduites ou perd la capacité de manier des armes à deux mains.",Le personnage est né dépourvu ou a perdu au cours de son passé l’usage d’un de ses bras ou d’une de ses jambes.\n\nSes vitesses sont réduites de moitié s’il s’agit d’une jambe.\n\nIl ne peut manier d’armes à deux mains s’il s’agit d’un bras.,🔗
2faf48b4-2c33-42d5-af03-5f56286ca1c9,Disability,maladroit,Maladroit,"Le personnage manque d’agilité et de souplesse, ce qui lui inflige un désavantage à ses tests d’Acrobaties et de Furtivité.",Le corps du personnage n’est pas souple ni agile.\n\nSes tests d’Acrobaties et de Furtivité sont effectués avec désavantage.,🔗
045390ec-6eb2-4904-a374-82cc8ca8d806,Disability,malchanceux,Malchanceux,"Accablé de malchance, le personnage confère 3 points de malchance au maître de jeu, lesquels peuvent être utilisés comme des points de Damnation.","Reconnu pour sa mauvaise fortune, les proches du personnage l’évitent ou rient des situations cocasses qui en découlent.\n\nLe maître de jeu est doté de 3 points de malchance qu’il peut utiliser contre le personnage.\n\n- Il peut dépenser 1 point de malchance afin de produire un effet équivalant à 2 points de Damnation.\n- Il peut dépenser 2 points de malchance afin de produire un effet équivalant à 4 points de Damnation.\n- Il peut dépenser 3 points de malchance afin de produire un effet équivalant à 5 points de Damnation.\n\nIl récupère ces points lorsque le personnage complète une nuit de sommeil.",🔗
0991adcf-b6f3-423d-9e0a-cf1722843bc9,Disability,malentendant,Malentendant,"Le personnage souffre de surdité partielle ou complète, ce qui lui inflige un désavantage à ses tests d’Intuition, de Perception et de Survie liés à l’ouïe.","Le personnage est né dépourvu d’ouïe, ou son audition est peu efficace.\n\nSes tests d’Intuition, de Perception et de Survie liés à l’ouïe sont effectués avec désavantage.",🔗
f82cdfae-3db5-417a-a6f0-3485ef7a557b,Gift,medecine-de-brousse,Médecine de brousse,"Permet de stabiliser sans risque, de ranimer une créature à 1 PV, et de soigner une cible en dépensant ses points d’Énergie une fois par jour.","Le personnage acquiert les capacités suivantes :\n\n- Lorsqu’il utilise une charge d’une [trousse de premiers soins](/regles/equipement/outils) afin de [stabiliser](/regles/combat/activites/stabiliser) une créature [agonisante](/regles/combat/conditions/agonisant), il peut utiliser une seconde charge par une [action](/regles/combat/deroulement/tour) supplémentaire. La créature [récupère](/regles/combat/degats/soins) immédiatement un point de [Vitalité](/regles/statistiques/vitalite) et reprend conscience.\n- Lorsqu’il stabilise une créature agonisante, il ne déclenche pas d’[attaque d’opportunité](/regles/combat/attaque/opportunite).\n- Pendant une [halte](/regles/aventure/repos/halte), il peut soigner une créature pendant une heure. Il effectue un [test](/regles/competences/tests) de [Médecine](/regles/competences/medecine) et utilise une charge d’une trousse de premiers soins. La cible dépense un nombre de points d’[Énergie](/regles/statistiques/energie) inférieur ou égal au résultat du test et récupère un nombre égal de points de Vitalité. La cible doit compléter une [nuit de sommeil](/regles/aventure/repos/sommeil) afin de pouvoir être soignée à nouveau par cette capacité.",🔗
90d2c5d9-895a-4c6d-bfd1-392ad90af3b0,Gift,menace-ingenieuse,Menace ingénieuse,Utilise une compétence alternative pour intimider et accorder un avantage temporaire aux interactions sociales contre la cible intimidée.,"Permet au personnage d’intimider une créature d’une manière créative et non conventionnelle, en utilisant une autre compétence.\n\nLorsqu’il en fait ainsi, il remplace son test de Représentation par un test de cette compétence.\n\nÉgalement, lorsqu’il réussit à intimider une créature, le personnage et ses alliés se voient conférer l’avantage à leurs tests de Diplomatie, d’Intuition et de Tromperie contre celle-ci pendant la prochaine minute.",🔗
0e5fb6ca-c74b-4305-bab0-d1f5f613e30c,Gift,mots-d-encouragement,Mots d’encouragement,Le personnage accorde un avantage tactique à ses alliés et peut réagir pour les assister lorsqu’ils sont attaqués à proximité.,"Lorsque le personnage aide une créature en situation de combat, celle-ci se voit conférer l’avantage à tout test jugé pertinent par le maître de jeu jusqu’à la fin de son prochain tour.\n\nÉgalement, lorsqu’une créature alliée située à 9 mètres ou moins de la position du personnage est victime d’une attaque, il peut utiliser sa réaction afin d’aider cette créature.",🔗
8a013700-4e84-422d-9ae0-4975de91aba9,Disability,muet,Muet,"Le personnage est incapable de parler clairement, ne pouvant dire que quelques mots simples, et ne peut canaliser de pouvoirs à composante vocale.","Les parents du personnage ne sont jamais parvenus à lui apprendre à parler convenablement.\n\nIl est complètement incapable de parler ou de formuler des phrases complètes.\n\nIl ne peut dire que quelques mots courts, simples et faciles à prononcer.\n\nSes capacités télépathiques ne sont pas affectées.\n\nIl est incapable de canaliser un pouvoir requérant une composante vocale.",🔗
98b55380-9e0a-47f6-bba5-0a5983238c2f,Gift,mysticisme,Mysticisme,"Octroie un pouvoir gratuit lié à un domaine magique ou spirituel choisi, ainsi qu’une capacité unique selon la magie ou la foi sélectionnée.","Le personnage sélectionne un domaine de magie ou de spiritualisme (religion, culte ou divinité).\n\nIl acquiert gratuitement un pouvoir de tiers 0 associé au domaine sélectionné, et acquiert gratuitement un pouvoir de tiers 1 associé à ce domaine lorsqu’il atteint le tiers 1.\n\nÉgalement, il se voit conférer une des capacités suivantes en fonction du domaine sélectionné.\n\n- **Perturbateur planaire (magie).** Une fois par tour, le personnage ajoute ses Sens (minimum 1) aux points de dégâts infligés par une attaque dirigée contre une créature issue d’une autre réalité ou dimension.\n- **Liaison spirituelle (spiritualisme).** Une fois par jour, pendant qu’il sommeille, le personnage peut communiquer avec une entité de sa religion ou de son culte afin de lui poser une question, ou de placer une requête. L’entité peut l’ignorer ou intervenir si elle le désire, à la discrétion du maître de jeu. Si le personnage profane le dogme de sa religion ou de son culte, il perd cette capacité jusqu’à ce qu’il se repente auprès de l’entité.",🔗
246d1e25-3d3b-4807-99f1-e8708a766946,Gift,orateur,Orateur,"Grâce à ses talents d’orateur, le personnage peut captiver un auditoire ou motiver ses alliés, leur offrant un soutien narratif et mécanique précieux.","### Captivant\n\nLorsque le personnage effectue une performance d’une durée minimale de 10 minutes, il peut captiver son audience pendant les 10 prochaines minutes.\n\nIl effectue un test de Représentation si la performance n’en requiert pas. Il soustrait 20 au résultat du test puis divise par 2. Une créature parmi l’audience est captivée si son Intellect et ses Sens sont inférieurs à cette valeur.\n\nLe personnage se voit conférer l’avantage à ses tests de Diplomatie, de Représentation et de Tromperie contre une créature captivée.\n\n### Motivateur\n\nLe personnage peut motiver ses alliés par un discours engageant d’une durée minimale de 10 minutes.\n\nIl effectue un test de Représentation et sélectionne un nombre de cibles inférieur ou égal à la valeur de l’attribut utilisé pour le test (minimum 1).\n\nUne créature doit pouvoir le voir et l’entendre, et être située à 9 mètres ou moins de sa position afin d’être ciblée par cette capacité.\n\nChaque cible se voit conférer un nombre de points de Vitalité temporaires égal au résultat du test (minimum 1).\n\nUne cible doit compléter une nuit de sommeil afin de pouvoir être affectée à nouveau par cette capacité.","🔗\n\nYou can spend 10 minutes inspiring your companions, shoring up their resolve to fight.\nWhen you do so, choose up to six friendly creatures (which can include yourself) within 30 feet of you who can see or hear you and who can understand you.\nEach creature can gain temporary hit points equal to your level + your Charisma modifier.\nA creature can’t gain temporary hit points from this feat again until it has finished a short or long rest."
70e12a73-cf73-405b-b917-2d5a98df7bfe,Disability,pauvrete,Pauvreté,"Le personnage commence sa carrière avec moins de ressources : son argent de départ est divisé par 1d10 + 5 (ou 10, au choix du MJ).","L’argent de départ du personnage est divisé par 1d10 + 5 (ou 10, à la discrétion du maître de jeu).",🔗
7f966602-62a5-456b-9db6-eb4acacfb2ad,Gift,pensee-claire,Pensée claire,"Accorde une mémoire parfaite sur un mois, une orientation astrale, un bonus passif d’Investigation et l’avantage après réflexion sur certains tests.","Le personnage acquiert les capacités suivantes :\n\n- Il se souvient exactement de tout ce qu’il a vu ou entendu pendant le dernier mois.\n- S’il observe le ciel pendant une minute, il peut déterminer où se trouve le Nord ainsi que le nombre d’heures restant avant le prochain coucher ou lever de soleil.\n- Il peut réfléchir pendant une minute à propos d’un sujet avant d’effectuer un test de Connaissance, d’Investigation, de Linguistique ou de Médecine afin de conférer l’avantage à son test. Il doit faire halte ou compléter une nuit de sommeil afin de réutiliser cette capacité.\n- Bonus permanent de +5 à ses tests passifs d’Investigation.",🔗
26bce659-e6ef-4e04-b57f-2cd6214131e8,Disability,phasmophobie,Phasmophobie,Le personnage est effrayé par le surnaturel. Il subit un désavantage à ses tests d’Occultisme et contre les effets surnaturels.,"Le personnage est terriblement effrayé par le surnaturel.\n\nSes tests d’Occultisme sont affligés du désavantage, tout comme ses tests et jets de sauvegarde contre les effets surnaturels.",🔗
80bd0e56-8dff-40e1-b37e-04989a5320f5,Gift,polyglotte,Polyglotte,"Permet d’apprendre deux langues supplémentaires, dont une exotique, et une langue additionnelle à chaque augmentation de tiers.","Le personnage apprend gratuitement deux langues supplémentaires. Une de ces deux langues peut être une langue exotique, avec l‘approbation du maître de jeu.\n\nÉgalement, chaque fois que son tiers de personnage augmente, il apprend gratuitement une langue supplémentaire.",🔗
ce75eba6-f49a-4601-bf34-44b3394ece1f,Gift,reflexes,Réflexes,"Confère des avantages contre les pièges, permet d’esquiver avec agilité et d’échapper à des contraintes physiques en prenant le temps requis.","Le personnage acquiert les capacités suivantes :\n\n- Il se voit conférer l’avantage à ses tests d’Acrobaties afin d’éviter des pièges, et il devient résistant aux dégâts infligés par les pièges.\n- Lorsqu’il réussit un jet de sauvegarde d’Acrobaties, il peut utiliser sa réaction afin d’effectuer un pas prudent.\n- Il peut Faire 20 à un test pour s’échapper d’une contrainte physique par deux actions. Il ne peut se déplacer jusqu’à la fin de son tour lorsqu’il en fait ainsi.",🔗
43ec439c-e5e5-46e6-bcc5-53385fb413f4,Gift,richesse,Richesse,"Le personnage commence l’aventure avec davantage de ressources, multipliant son argent de départ par 1d10 + 5 ou par 10 selon la décision du maître de jeu.","L’argent de départ du personnage est multiplié par 1d10 + 5 (ou 10, à la discrétion du maître de jeu).",🔗
8434f84c-a1e3-41cd-9bc4-8fdd23eff8f0,Gift,sante-de-fer,Santé de fer,🚧,🚧,"🔗\n\n- 🚧Résistance maladies + avantage contre maladies\n- 🚧Poisons?\n- 🚧Augmente de 50 % la régénération de Vitalité du personnage lorsqu’il se repose. Ce bonus est cumulatif à tout autre bonus de guérison et de médecine quelconque, qu’il soit magique ou non."
e4b4031c-b7a5-4fa8-9d37-f7ac6063f1e5,Gift,sens-aiguises,Sens aiguisés,"Améliore la perception dans l’obscurité, confère une vision aveugle de 1,5 m et la capacité de détecter des vibrations à travers les surfaces.","Le personnage acquiert les capacités suivantes :\n\n- Ses tests de Perception effectués dans une zone légèrement obscurcie ne sont pas affligés du désavantage.\n- Il acquiert une vision aveugle de 1,5 mètres.\n- Par une action, il peut effleurer une surface afin d’en ressentir les vibrations. Jusqu’à la fin de son prochain tour, il peut discerner la position de toute créature située à 4,5 mètres ou moins de la surface qu’il a effleuré. Il n’a pas besoin de voir ou d’entendre ces créatures.\n- Bonus permanent de +5 à ses tests passifs de Perception.",🔗
8ce0f2b2-3f27-455d-9e27-6fe3179bcd72,Gift,sixieme-sens,Sixième sens,Permet de détecter la magie à courte portée et d’effectuer un test d’Intuition parfait une fois par jour après une nuit de repos.,"Une fois par jour, par une action libre, il peut activer son sixième sens pendant une période de 10 minutes.\n\nPendant cette période, par une action, il peut voir un faible aura autour de tout objet ou toute créature magique située à 9 mètres ou moins de sa position jusqu’au début de son prochain tour.\n\nÉgalement, une fois par jour, il peut Faire 20 à un test d’Intuition.\n\nIl doit compléter une nuit de sommeil afin de récupérer ces capacités.",🔗
a0859538-f334-41e5-aa31-1cfa9eb3aefe,Disability,sourd,Sourd,"Privé de son ouïe, le personnage échoue automatiquement ses tests associés. Il peut toutefois utiliser sa vue si le contexte est favorable.","Le personnage a perdu son sens de la vision ou en est né dépourvu.\n\nIl échoue automatiquement ses tests liés à l’ouïe.\n\nLorsqu’il effectue un test de Perception et, qu’il n’est pas victime d’un effet d’aveuglement, il peut substituer son ouïe par sa vue si le contexte le permet.",🔗
c62fb59b-f660-4493-87b3-4e4c780b68e8,Gift,talentueux,Talentueux,"Le personnage obtient gratuitement deux talents de tiers 0 liés à une compétence, ou un seul talent non réservé selon son choix.","Le personnage acquiert gratuitement deux talents de tiers 0 associés à une compétence.\n\nAlternativement, il acquiert gratuitement un talent de tiers 0, à l’exception des talents réservés.",🔗
17aabaa6-8f5a-4d80-b674-b4fbc5c04f0f,Disability,tremblements,Tremblements,"Les tremblements des mains du personnage affectent sa précision, lui infligeant un désavantage à ses tests d’Artisanat, d’Orientation et de Roublardise.","Les mains du personnage tremblent de manière inexplicable et fréquente, ce qui nuit à sa dextérité.\n\nSes tests d’Artisanat, d’Orientation et de Roublardise sont effectués avec désavantage.",🔗
89ded774-ce14-49a1-8539-47c2ba7c8dbd,Gift,ventriloque,Ventriloque,"Le personnage peut imiter des voix ou sons avec exactitude, et projeter ses paroles à distance pour tromper les sens de ses auditeurs.","Le personnage peut imiter avec exactitude la voix ou les sons d’une créature qu’il a préalablement écoutée et étudiée pendant au moins une minute.\n\nS’il dévie des paroles de la créature ou qu’il altère de quelconque manière les sons produits, les créatures l’écoutant peuvent détecter la supercherie par un test d’Intuition opposé à un test de Tromperie du personnage.\n\nÉgalement, lorsque le personnage parle, il peut donner l’impression que les paroles qu’il prononce ou les sons qu’il émet proviennent d’une source quelconque située à 9 mètres ou moins de sa position.\n\nLes créatures qui l’écoutent peuvent détecter la supercherie par un test d’Intuition opposé à un test de Tromperie du personnage.\n\nIl peut utiliser cette capacité lorsqu’il canalise un pouvoir.",🔗
